,t,y,x1,x2
1,1,1.816454669,-0.957563738,-0.457695171
2,2,2.113459402,-0.224669473,-0.490404141
3,3,3.411300796,-0.870905417,-0.336602147
4,4,4.306124019,-2.713326522,1.055227352
5,5,4.342805785,0.898382131,0.598956405
6,6,1.135399736,0.708612331,-0.642747945
7,7,3.339217391,-0.178709197,-0.87514038
8,8,2.579931122,0.120297322,-0.683602035
9,9,6.095795212,-0.586369025,1.686313627
10,10,2.349424594,-0.547355977,-0.22312158
11,11,3.510658345,0.21252601,0.881847346
12,12,0.708050177,1.268050733,-0.505103106
13,13,4.324755006,-0.773996928,0.938646515
14,14,5.927548837,0.827697357,1.096236346
15,15,2.302304643,-1.246679591,0.251333873
16,16,1.901093653,-1.275733497,0.591914924
17,17,2.889564591,0.815177331,0.447213535
18,18,2.443166111,-0.392816647,0.323714971
19,19,4.77394391,1.435679827,0.134296485
20,20,1.346898119,0.523621254,-1.045587903
21,21,0.805926562,0.958755541,-1.278905917
22,22,5.431011242,-0.156917493,0.611373487
23,23,5.515113572,0.315189305,1.076692951
24,24,5.412963904,1.013220317,1.247815581
25,25,2.510030843,0.180852096,-0.685659263
26,26,1.987466617,1.633792234,-0.66519285
27,27,5.186896781,0.330907038,0.577595673
28,28,3.100084052,-0.463836884,-0.191941016
29,29,2.789160571,-1.827709335,-0.521792768
30,30,-0.150228638,-0.82690835,-1.209536615
31,31,5.142557824,0.344110932,1.13493972
32,32,-0.079090818,0.350056123,-1.762632751
33,33,4.960806151,0.14816982,-0.771252587
34,34,2.991414791,-0.672363263,0.511854574
35,35,2.842391996,-0.629445638,-0.072129208
36,36,6.556429588,1.022573575,1.686448562
37,37,3.940876918,1.004415482,0.869498295
38,38,6.672111584,1.130496524,1.319033508
39,39,3.488992571,0.833913589,0.418044295
40,40,2.538123601,1.640693459,-0.723120328
41,41,1.956680183,-0.611671452,0.256210944
42,42,8.676548198,0.490673611,1.438927959
43,43,4.121932041,0.293098243,0.753706316
44,44,-0.293329354,0.372090102,-1.226287208
45,45,1.103491647,0.921471186,-1.176115593
46,46,2.843769277,0.620576192,-0.150754645
47,47,4.39327559,0.996670195,-0.556471255
48,48,2.812914207,-2.403672301,1.008512929
49,49,5.528139702,1.128073916,1.24798347
50,50,4.478817458,0.30830338,0.368768198
51,51,5.275588798,-0.140679703,1.440347102
52,52,2.778995976,-0.52823339,0.276105209
