"","color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"2419","white",6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
"285","red",9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
"4610","white",6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,5
"4272","white",7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7
"1623","white",7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5
"1948","white",7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6
"3797","white",7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6
"2165","white",7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10,6
"4037","white",8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6
"3542","white",8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5
"5708","white",6.7,0.28,0.42,3.5,0.035,43,105,0.99021,3.18,0.38,12.2,6
"4585","white",6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
"4747","white",7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
"6041","white",6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,6
"2951","white",6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,7
"3827","white",7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5
"5318","white",6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5
"1453","red",6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,7
"2668","white",8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,7
"251","red",10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6
"4539","white",7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
"6197","white",6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6
"1382","red",6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5
"4280","white",8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6
"5977","white",6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.3333333333333,6
"5150","white",7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,6
"461","red",9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6
"2520","white",7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7
"2630","white",7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6
"4265","white",8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5
"2738","white",9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
"2076","white",7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7
"1279","red",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
"1055","red",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
"3383","white",8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
"5903","white",6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,6
"1336","red",6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6
"5261","white",6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6
"131","red",8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5
"5973","white",6.1,0.26,0.28,1.7,0.043,24,98,0.98918,3.14,0.44,12.5,6
"2809","white",8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6
"2854","white",7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5
"4911","white",6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7
"2149","white",7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5
"2545","white",6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7
"1506","red",6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
"462","red",8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5
"5892","white",6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,6
"4977","white",7,0.4,0.25,1.8,0.05,51,189,0.99174,3,0.55,11.4,6
"694","red",9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5
"511","red",12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5
"2797","white",7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7
"4382","white",7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6
"4733","white",6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,6
"2916","white",7.9,0.255,0.26,2,0.026,40,190,0.9932,3.04,0.39,11.2,6
"5050","white",6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7
"4379","white",6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5
"3341","white",7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6
"4449","white",7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5
"3788","white",6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
"5244","white",6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,7
"5214","white",6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5
"3925","white",7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
"6392","white",4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6
"5425","white",6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,6
"4603","white",7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7
"123","red",7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5
"1962","white",6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
"5677","white",5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,6
"6051","white",6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5
